,CO,DOWNSTREAM,UPSTREAM,DATE_TIME
1149367,ALB,491493097.00404,66131889.972663,2020-03-18 19:45:00
1149368,ALB,505450546.212712,66298452.465368,2020-03-18 20:00:00
1149369,ALB,534905682.507726,74284938.428694,2020-03-18 20:15:00
1149370,ALB,573258702.327074,70156264.00768,2020-03-18 20:30:00
1149371,ALB,578130195.568184,67441822.853046,2020-03-18 20:45:00
1149372,ALB,591803029.778997,69178482.637066,2020-03-18 21:00:00
1149373,ALB,589462833.034207,81789821.240423,2020-03-18 21:15:00
1149374,ALB,598941808.143369,81149403.598089,2020-03-18 21:30:00
1149375,ALB,571228720.866643,77603979.783967,2020-03-18 21:45:00
1149376,ALB,567429381.838983,79832158.315528,2020-03-18 22:00:00
1149377,ALB,538045671.873113,66467735.6508,2020-03-18 22:15:00
1149378,ALB,510063245.021444,51502631.974665,2020-03-18 22:30:00
1149379,ALB,463220067.839197,53581222.974433,2020-03-18 22:45:00
1149380,ALB,437824287.065685,45757243.012904,2020-03-18 23:00:00
1149381,ALB,408640362.216507,47268558.406243,2020-03-18 23:15:00
1149382,ALB,381520918.394574,64036001.025158,2020-03-18 23:30:00
1149383,ALB,329499379.817281,72122277.422527,2020-03-18 23:45:00
1150728,ALB,301154856.796012,76502055.093361,2020-03-19 00:00:00
1150729,ALB,283416524.135224,81053038.342425,2020-03-19 00:15:00
1150730,ALB,265662118.370752,62042920.040536,2020-03-19 00:30:00
1150731,ALB,249219871.321904,58763780.109015,2020-03-19 00:45:00
1150732,ALB,222028245.060471,51425590.210926,2020-03-19 01:00:00
1150733,ALB,202227587.248936,77542542.107674,2020-03-19 01:15:00
1150734,ALB,183426797.873572,71100164.855939,2020-03-19 01:30:00
1150735,ALB,171901151.115906,59631800.990853,2020-03-19 01:45:00
1150736,ALB,161469545.788661,60466714.539372,2020-03-19 02:00:00
1150737,ALB,160050488.34038,75506238.803864,2020-03-19 02:15:00
1150738,ALB,144181261.041724,50973315.391741,2020-03-19 02:30:00
1150739,ALB,137759246.359116,52439245.418624,2020-03-19 02:45:00
1150740,ALB,136703355.707879,45329928.889038,2020-03-19 03:00:00
1150741,ALB,143553716.453494,50045680.958876,2020-03-19 03:15:00
1150742,ALB,129245256.757625,54805945.929669,2020-03-19 03:30:00
1150743,ALB,123360076.487909,59266682.90871,2020-03-19 03:45:00
1150744,ALB,120915596.528211,64516351.617146,2020-03-19 04:00:00
1150745,ALB,119068920.849522,52501954.338135,2020-03-19 04:15:00
1150746,ALB,116583073.805261,47204259.93109,2020-03-19 04:30:00
1150747,ALB,114650395.357058,46036413.180667,2020-03-19 04:45:00
1150748,ALB,113925572.230924,41432467.923936,2020-03-19 05:00:00
1150749,ALB,118097481.447026,40954583.31215,2020-03-19 05:15:00
1150750,ALB,118104806.41104,41017731.903768,2020-03-19 05:30:00
